	Ticker symbol	Security	SEC filings	GICS Sector	GICS Sub Industry	Location	Date first added[3][4]	CIK	Founded
250	ITW	Illinois Tool Works	reports	Industrials	Industrial Machinery	Glenview, Illinois	1986-02-28	49826	
251	ILMN	Illumina Inc	reports	Health Care	Life Sciences Tools & Services	San Diego, California	2015-11-19	1110803	
252	IR	Ingersoll-Rand PLC	reports	Industrials	Industrial Machinery	Dublin, Ireland	2010-11-17	1466258	
253	INTC	Intel Corp.	reports	Information Technology	Semiconductors	Santa Clara, California	1976-12-31	50863	
254	ICE	Intercontinental Exchange	reports	Financials	Financial Exchanges & Data	Atlanta, Georgia	2007-09-26	1571949	
255	IBM	International Business Machines	reports	Information Technology	IT Consulting & Other Services	Armonk, New York		51143	1911
256	INCY	Incyte	reports	Health Care	Biotechnology	Wilmington, Delaware	2017-02-28	879169	
257	IP	International Paper	reports	Materials	Paper Packaging	Memphis, Tennessee		51434	1898
258	IPG	Interpublic Group	reports	Consumer Discretionary	Advertising	New York, New York	1992-10-01	51644	
259	IFF	Intl Flavors & Fragrances	reports	Materials	Specialty Chemicals	New York, New York	1976-03-31	51253	
260	INTU	Intuit Inc.	reports	Information Technology	Internet Software & Services	Mountain View, California	2000-12-05	896878	
261	ISRG	Intuitive Surgical Inc.	reports	Health Care	Health Care Equipment	Sunnyvale, California	2008-06-02	1035267	
262	IVZ	Invesco Ltd.	reports	Financials	Asset Management & Custody Banks	Atlanta, Georgia	2008-08-21	914208	
263	IPGP	IPG Photonics Corp.	reports	Information Technology	Electronic Manufacturing Services	Oxford, Massachusetts	2018-03-07	1111928	
264	IQV	IQVIA Holdings Inc.	reports	Health Care	Life Sciences Tools & Service	Durham, North Carolina	2017-08-29	1478242	
265	IRM	Iron Mountain Incorporated	reports	Real Estate	Specialized REITs	Boston, Massachusetts	2009-01-06	1020569	
266	JEC	Jacobs Engineering Group	reports	Industrials	Construction & Engineering	Pasadena, California	2007-10-26	52988	
267	JBHT	J. B. Hunt Transport Services	reports	Industrials	Trucking	Lowell, Arkansas	2015-07-01	728535	
268	JEF	Jefferies Financial Group	reports	Financials	Multi-Sector Holdings	New York, New York	2007-08-27	96223	
269	SJM	JM Smucker	reports	Consumer Staples	Packaged Foods & Meats	Orrville, Ohio	2008-11-06	91419	
270	JNJ	Johnson & Johnson	reports	Health Care	Health Care Equipment	New Brunswick, New Jersey	1973-06-30	200406	1886
271	JCI	Johnson Controls International	reports	Industrials	Building Products	Cork, Ireland	2010-08-27	833444	
272	JPM	JPMorgan Chase & Co.	reports	Financials	Diversified Banks	New York, New York	1975-06-30	19617	
273	JNPR	Juniper Networks	reports	Information Technology	Communications Equipment	Sunnyvale, California		1043604	1996
274	KSU	Kansas City Southern	reports	Industrials	Railroads	Kansas City, Missouri	2013-05-24	54480	
275	K	Kellogg Co.	reports	Consumer Staples	Packaged Foods & Meats	Battle Creek, Michigan		55067	1906
276	KEY	KeyCorp	reports	Financials	Regional Banks	Cleveland, Ohio	1994-03-01	91576	
277	KMB	Kimberly-Clark	reports	Consumer Staples	Household Products	Irving, Texas		55785	1872
278	KIM	Kimco Realty	reports	Real Estate	Retail REITs	New Hyde Park, New York	2006-04-04	879101	
279	KMI	Kinder Morgan	reports	Energy	Oil & Gas Storage & Transportation	Houston, Texas	2012-05-25	1506307	
280	KLAC	KLA-Tencor Corp.	reports	Information Technology	Semiconductor Equipment	Milpitas, California		319201	1975/1977 (1997)
281	KSS	Kohl's Corp.	reports	Consumer Discretionary	General Merchandise Stores	Menomonee Falls, Wisconsin		885639	1962
282	KHC	Kraft Heinz Co	reports	Consumer Staples	Packaged Foods & Meats	Pittsburgh, Pennsylvania	2015-07-06	1637459	
283	KR	Kroger Co.	reports	Consumer Staples	Food Retail	Cincinnati, Ohio		56873	1883
284	LB	L Brands Inc.	reports	Consumer Discretionary	Apparel Retail	Columbus, Ohio	1983-09-30	701985	
285	LLL	L-3 Communications Holdings	reports	Industrials	Aerospace & Defense	New York, New York		1056239	1997
286	LH	Laboratory Corp. of America Holding	reports	Health Care	Health Care Services	Burlington, North Carolina	2004-11-01	920148	
287	LRCX	Lam Research	reports	Information Technology	Semiconductor Equipment	Fremont, California	2012-06-29	707549	
288	LEG	Leggett & Platt	reports	Consumer Discretionary	Home Furnishings	Carthage, Missouri		58492	1883
289	LEN	Lennar Corp.	reports	Consumer Discretionary	Homebuilding	Miami, Florida	2005-10-04	920760	
290	LLY	Lilly (Eli) & Co.	reports	Health Care	Pharmaceuticals	Indianapolis, Indiana	1970-12-31	59478	1876
291	LNC	Lincoln National	reports	Financials	Multi-line Insurance	Radnor, Pennsylvania	1976-06-30	59558	
292	LKQ	LKQ Corporation	reports	Consumer Discretionary	Distributors	Chicago, Illinois	2016-05-23	1065696	
293	LMT	Lockheed Martin Corp.	reports	Industrials	Aerospace & Defense	Bethesda, Maryland	1984-07-31	936468	
294	L	Loews Corp.	reports	Financials	Multi-line Insurance	New York, New York		60086	
295	LOW	Lowe's Cos.	reports	Consumer Discretionary	Home Improvement Retail	Mooresville, North Carolina	1984-02-29	60667	1904/1946/1959
296	LYB	LyondellBasell	reports	Materials	Specialty Chemicals	Rotterdam, Netherlands	2012-09-05	1489393	
297	MTB	M&T Bank Corp.	reports	Financials	Regional Banks	Buffalo, New York		36270	1856
298	MAC	Macerich	reports	Real Estate	Retail REITs	Santa Monica, California	2013-05-09	912242	
299	M	Macy's Inc.	reports	Consumer Discretionary	Department Stores	Cincinnati, Ohio		794367	1929
300	MRO	Marathon Oil Corp.	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	1991-05-01	101778	
301	MPC	Marathon Petroleum	reports	Energy	Oil & Gas Refining & Marketing	Findlay, Ohio	2011-07-01	1510295	
302	MAR	Marriott Int'l.	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Bethesda, Maryland		1048286	1927
303	MMC	Marsh & McLennan	reports	Financials	Insurance Brokers	New York, New York	1987-08-31	62709	
304	MLM	Martin Marietta Materials	reports	Materials	Construction Materials	Raleigh, North Carolina	2014-07-02	916076	
305	MAS	Masco Corp.	reports	Industrials	Building Products	Taylor, Michigan	1981-06-30	62996	
306	MA	Mastercard Inc.	reports	Information Technology	Internet Software & Services	Harrison, New York	2008-07-18	1141391	
307	MAT	Mattel Inc.	reports	Consumer Discretionary	Leisure Products	El Segundo, California	1982-03-31	63276	
308	MKC	McCormick & Co.	reports	Consumer Staples	Packaged Foods & Meats	Sparks, Maryland		63754	1889
309	MCD	McDonald's Corp.	reports	Consumer Discretionary	Restaurants	Chicago, Illinois	1970-06-30	63908	1940
310	MCK	McKesson Corp.	reports	Health Care	Health Care Distributors	San Francisco, California		927653	1833
311	MDT	Medtronic plc	reports	Health Care	Health Care Equipment	Dublin, Ireland	1986-10-31	64670	
312	MRK	Merck & Co.	reports	Health Care	Pharmaceuticals	Whitehouse Station, New Jersey		310158	1891
313	MET	MetLife Inc.	reports	Financials	Life & Health Insurance	New York, New York		1099219	1868
314	MTD	Mettler Toledo	reports	Health Care	Life Sciences Tools & Services	Columbus, Ohio	2016-09-06	1037646	
315	MGM	MGM Resorts International	reports	Consumer Discretionary	Casinos & Gaming	Paradise, Nevada	2017-07-26	789570	
316	KORS	Michael Kors Holdings	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	2013-11-13	1530721	
317	MCHP	Microchip Technology	reports	Information Technology	Semiconductors	Chandler, Arizona	2007-09-07	827054	
318	MU	Micron Technology	reports	Information Technology	Semiconductors	Boise, Idaho	1994-09-27	723125	
319	MSFT	Microsoft Corp.	reports	Information Technology	Systems Software	Redmond, Washington	1994-06-01	789019	
320	MAA	Mid-America Apartments	reports	Real Estate	Residential REITs	Memphis, Tennessee	2016-12-02	912595	
321	MHK	Mohawk Industries	reports	Consumer Discretionary	Home Furnishings	Amsterdam, New York	2013-12-23	851968	
322	TAP	Molson Coors Brewing Company	reports	Consumer Staples	Brewers	Denver, Colorado	1976-06-30	24545	
323	MDLZ	Mondelez International	reports	Consumer Staples	Packaged Foods & Meats	Northfield, Illinois	2012-10-02	1103982	
324	MNST	Monster Beverage	reports	Consumer Staples	Soft Drinks	Corona, California	2012-06-28	865752	
325	MCO	Moody's Corp	reports	Financials	Financial Exchanges & Data	New York, New York		1059556	1909
326	MS	Morgan Stanley	reports	Financials	Investment Banking & Brokerage	New York, New York		895421	1935
327	MOS	The Mosaic Company	reports	Materials	Fertilizers & Agricultural Chemicals	Plymouth, Minnesota	2011-09-26	1285785	
328	MSI	Motorola Solutions Inc.	reports	Information Technology	Communications Equipment	Schaumburg, Illinois		68505	1928 (2011)
329	MSCI	MSCI Inc	reports	Financials	Financial Exchanges & Data	New York, New York	2018-04-04	1408198	
330	MYL	Mylan N.V.	reports	Health Care	Pharmaceuticals	Amsterdam, Netherlands	2004-04-23	69499	
331	NDAQ	Nasdaq, Inc.	reports	Financials	Financial Exchanges & Data	New York, New York	2008-10-22	1120193	
332	NOV	National Oilwell Varco Inc.	reports	Energy	Oil & Gas Equipment & Services	Houston, Texas	2005-03-14	1021860	
333	NKTR	Nektar Therapeutics	reports	Health Care	Pharmaceuticals	San Francisco, California	2018-03-19	906709	
334	NTAP	NetApp	reports	Information Technology	Internet Software & Services	Sunnyvale, California	1999-06-25	1002047	
335	NFLX	Netflix Inc.	reports	Information Technology	Internet Software & Services	Los Gatos, California	2010-12-20	1065280	
336	NWL	Newell Brands	reports	Consumer Discretionary	Housewares & Specialties	Sandy Springs, Georgia	1989-04-30	814453	
337	NFX	Newfield Exploration Co	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	2010-12-20	912750	
338	NEM	Newmont Mining Corporation	reports	Materials	Gold	Denver, Colorado	1969-06-30	1164727	1921
339	NWSA	News Corp. Class A	reports	Consumer Discretionary	Publishing	New York, New York	2013-08-01	1564708	
340	NWS	News Corp. Class B	reports	Consumer Discretionary	Publishing	New York, New York	2015-09-18	1564708	
341	NEE	NextEra Energy	reports	Utilities	Multi-Utilities	Juno Beach, Florida	1976-06-30	753308	
342	NLSN	Nielsen Holdings	reports	Industrials	Research & Consulting Services	New York, New York	2013-07-09	1492633	
343	NKE	Nike	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Washington County, Oregon	1988-11-30	320187	
344	NI	NiSource Inc.	reports	Utilities	Multi-Utilities	Merrillville, Indiana		1111711	1912
345	NBL	Noble Energy Inc	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	2007-10-08	72207	
346	JWN	Nordstrom	reports	Consumer Discretionary	Department Stores	Seattle, Washington	1986-08-31	72333	
347	NSC	Norfolk Southern Corp.	reports	Industrials	Railroads	Norfolk, Virginia		702165	1881/1894 (1980)
348	NTRS	Northern Trust Corp.	reports	Financials	Asset Management & Custody Banks	Chicago, Illinois		73124	1889
349	NOC	Northrop Grumman Corp.	reports	Industrials	Aerospace & Defense	West Falls Church, Virginia	1985-06-30	1133421	
350	NCLH	Norwegian Cruise Line	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	2017-10-13	1513761	
351	NRG	NRG Energy	reports	Utilities	Independent Power Producers & Energy Traders	Princeton, New Jersey	2010-01-29	1013871	
352	NUE	Nucor Corp.	reports	Materials	Steel	Charlotte, North Carolina	1985-04-30	73309	
353	NVDA	Nvidia Corporation	reports	Information Technology	Semiconductors	Santa Clara, California	2001-11-30	1045810	
354	ORLY	O'Reilly Automotive	reports	Consumer Discretionary	Specialty Stores	Springfield, Missouri	2009-03-27	898173	
355	OXY	Occidental Petroleum	reports	Energy	Oil & Gas Exploration & Production	Los Angeles, California	1982-12-31	797468	
356	OMC	Omnicom Group	reports	Consumer Discretionary	Advertising	New York, New York		29989	1986
357	OKE	ONEOK	reports	Energy	Oil & Gas Storage & Transportation	Tulsa, Oklahoma	2010-03-15	1039684	
358	ORCL	Oracle Corp.	reports	Information Technology	Application Software	Redwood Shores, California	1989-08-31	1341439	
359	PCAR	PACCAR Inc.	reports	Industrials	Construction Machinery & Heavy Trucks	Bellevue, Washington	1980-12-31	75362	
360	PKG	Packaging Corporation of America	reports	Materials	Paper Packaging	Lake Forest, Illinois	2017-07-26	75677	
361	PH	Parker-Hannifin	reports	Industrials	Industrial Machinery	Cleveland, Ohio	1985-11-30	76334	
362	PAYX	Paychex Inc.	reports	Information Technology	Internet Software & Services	Penfield, New York		723531	1971
363	PYPL	PayPal	reports	Information Technology	Data Processing & Outsourced Services	San Jose, California	2015-07-20	1633917	
364	PNR	Pentair plc	reports	Industrials	Industrial Machinery	Worsley, UK	2012-10-01	77360	
365	PBCT	People's United Financial	reports	Financials	Thrifts & Mortgage Finance	Bridgeport, Connecticut	2008-11-13	1378946	
366	PEP	PepsiCo Inc.	reports	Consumer Staples	Soft Drinks	Purchase, New York		77476	1898
367	PKI	PerkinElmer	reports	Health Care	Health Care Equipment	Waltham, Massachusetts	1985-05-31	31791	
368	PRGO	Perrigo	reports	Health Care	Pharmaceuticals	Dublin, Ireland	2011-12-19	1585364	
369	PFE	Pfizer Inc.	reports	Health Care	Pharmaceuticals	New York, New York		78003	1849
370	PCG	PG&E Corp.	reports	Utilities	Multi-Utilities	San Francisco, California		1004980	1905
371	PM	Philip Morris International	reports	Consumer Staples	Tobacco	New York, New York	2008-03-31	1413329	
372	PSX	Phillips 66	reports	Energy	Oil & Gas Refining & Marketing	Houston, Texas	2012-05-01	1534701	
373	PNW	Pinnacle West Capital	reports	Utilities	Multi-Utilities	Phoenix, Arizona		764622	1985
374	PXD	Pioneer Natural Resources	reports	Energy	Oil & Gas Exploration & Production	Irving, Texas	2008-09-24	1038357	
375	PNC	PNC Financial Services	reports	Financials	Regional Banks	Pittsburgh, Pennsylvania	1988-04-30	713676	
376	RL	Polo Ralph Lauren Corp.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	2007-02-02	1037038	
377	PPG	PPG Industries	reports	Materials	Specialty Chemicals	Pittsburgh, Pennsylvania		79879	1883
378	PPL	PPL Corp.	reports	Utilities	Electric Utilities	Allentown, Pennsylvania		922224	
379	PX	Praxair Inc.	reports	Materials	Industrial Gases	Danbury, Connecticut	1992-07-01	884905	
380	PFG	Principal Financial Group	reports	Financials	Life & Health Insurance	Des Moines, Iowa	2002-07-22	1126328	
381	PG	Procter & Gamble	reports	Consumer Staples	Personal Products	Cincinnati, Ohio		80424	1837
382	PGR	Progressive Corp.	reports	Financials	Property & Casualty Insurance	Mayfield Village, Ohio	1997-08-04	80661	
383	PLD	Prologis	reports	Real Estate	Industrial REITs	San Francisco, California	2003-07-17	1045609	
384	PRU	Prudential Financial	reports	Financials	Life & Health Insurance	Newark, New Jersey	2002-07-22	1137774	
385	PEG	Public Serv. Enterprise Inc.	reports	Utilities	Electric Utilities	Newark, New Jersey		788784	
386	PSA	Public Storage	reports	Real Estate	Specialized REITs	Glendale, California	2005-08-19	1393311	
387	PHM	Pulte Homes Inc.	reports	Consumer Discretionary	Homebuilding	Atlanta, Georgia	1984-04-30	822416	
388	PVH	PVH Corp.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	2013-02-15	78239	
389	QRVO	Qorvo	reports	Information Technology	Semiconductors	Greensboro, North Carolina	2015-06-11	1604778	
390	PWR	Quanta Services Inc.	reports	Industrials	Construction & Engineering	Houston, Texas	2009-07-01	1050915	
391	QCOM	QUALCOMM Inc.	reports	Information Technology	Semiconductors	San Diego, California		804328	1985
392	DGX	Quest Diagnostics	reports	Health Care	Health Care Services	Madison, New Jersey	2002-12-12	1022079	
393	RJF	Raymond James Financial Inc.	reports	Financials	Investment Banking & Brokerage	St. Petersburg, Florida	2017-03-20	720005	
394	RTN	Raytheon Co.	reports	Industrials	Aerospace & Defense	Waltham, Massachusetts		1047122	1922
395	O	Realty Income Corporation	reports	Real Estate	Retail REITs	San Diego, California	2015-04-07	726728	
396	RHT	Red Hat Inc.	reports	Information Technology	Systems Software	Raleigh, North Carolina	2009-07-27	1087423	
397	REG	Regency Centers Corporation	reports	Real Estate	Retail REITs	Jacksonville, Florida	2017-03-02	910606	
398	REGN	Regeneron	reports	Health Care	Biotechnology	Tarrytown, New York	2013-05-01	872589	
399	RF	Regions Financial Corp.	reports	Financials	Regional Banks	Birmingham, Alabama	1998-08-28	1281761	
400	RSG	Republic Services Inc	reports	Industrials	Environmental & Facilities Services	Phoenix, Arizona	2008-12-05	1060391	
401	RMD	ResMed	reports	Health Care	Health Care Equipment	San Diego, California	2017-07-26	943819	
402	RHI	Robert Half International	reports	Industrials	Human Resource & Employment Services	Menlo Park, California	2000-12-05	315213	
403	ROK	Rockwell Automation Inc.	reports	Industrials	Electrical Components & Equipment	Milwaukee, Wisconsin		1024478	
404	COL	Rockwell Collins	reports	Industrials	Aerospace & Defense	Cedar Rapids, Iowa	2001-07-02	1137411	
405	ROP	Roper Technologies	reports	Industrials	Industrial Conglomerates	Sarasota, Florida	2009-12-23	882835	
406	ROST	Ross Stores	reports	Consumer Discretionary	Apparel Retail	Pleasanton, California	2009-12-21	745732	
407	RCL	Royal Caribbean Cruises Ltd	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	2014-12-05	884887	
408	CRM	Salesforce.com	reports	Information Technology	Internet Software & Services	San Francisco, California	2008-09-15	1108524	
409	SBAC	SBA Communications	reports	Real Estate	Specialized REITs	Boca Raton, Florida	2017-09-01	1034054	
410	SCG	SCANA Corp	reports	Utilities	Multi-Utilities	Cayce, South Carolina	2009-01-02	754737	
411	SLB	Schlumberger Ltd.	reports	Energy	Oil & Gas Equipment & Services	Curaçao, Kingdom of the Netherlands	1965-03-31	87347	1926
412	STX	Seagate Technology	reports	Information Technology	Technology Hardware, Storage & Peripherals	Dublin, Ireland	2012-07-02	1137789	
413	SEE	Sealed Air	reports	Materials	Paper Packaging	Elmwood Park, New Jersey		1012100	
414	SRE	Sempra Energy	reports	Utilities	Multi-Utilities	San Diego, California		1032208	
415	SHW	Sherwin-Williams	reports	Materials	Specialty Chemicals	Cleveland, Ohio	1964-06-30	89800	1866
416	SPG	Simon Property Group Inc	reports	Real Estate	Retail REITs	Indianapolis, Indiana	2002-06-26	1063761	
417	SWKS	Skyworks Solutions	reports	Information Technology	Semiconductors	Woburn, Massachusetts	2015-03-12	4127	
418	SLG	SL Green Realty	reports	Real Estate	Office REITs	New York, New York	2015-03-20	1040971	
419	SNA	Snap-On Inc.	reports	Consumer Discretionary	Household Appliances	Kenosha, Wisconsin	1982-09-30	91440	
420	SO	Southern Co.	reports	Utilities	Electric Utilities	Atlanta, Georgia		92122	
421	LUV	Southwest Airlines	reports	Industrials	Airlines	Dallas, Texas	1994-07-01	92380	
422	SPGI	S&P Global, Inc.	reports	Financials	Financial Exchanges & Data	New York, New York		64040	
423	SWK	Stanley Black & Decker	reports	Consumer Discretionary	Household Appliances	New Britain, Connecticut	1982-09-30	93556	
424	SBUX	Starbucks Corp.	reports	Consumer Discretionary	Restaurants	Seattle, Washington		829224	1971
425	STT	State Street Corp.	reports	Financials	Asset Management & Custody Banks	Boston, Massachusetts		93751	
426	SRCL	Stericycle Inc	reports	Industrials	Environmental & Facilities Services	Lake Forest, Illinois	2008-11-19	861878	
427	SYK	Stryker Corp.	reports	Health Care	Health Care Equipment	Kalamazoo, Michigan	2000-12-12	310764	
428	STI	SunTrust Banks	reports	Financials	Regional Banks	Atlanta, Georgia	1988-05-31	750556	
429	SIVB	SVB Financial	reports	Financials	Regional Banks	Santa Clara, California	2018-03-19	719739	
430	SYMC	Symantec Corp.	reports	Information Technology	Application Software	Mountain View, California	2003-03-25	849399	
431	SYF	Synchrony Financial	reports	Financials	Consumer Finance	Stamford, Connecticut	2015-11-18	1601712	
432	SNPS	Synopsys Inc.	reports	Information Technology	Application Software	Mountain View, California	2017-03-16	883241	
433	SYY	Sysco Corp.	reports	Consumer Staples	Food Distributors	Houston, Texas	1986-12-31	96021	
434	TROW	T. Rowe Price Group	reports	Financials	Asset Management & Custody Banks	Baltimore, Maryland		1113169	1937
435	TTWO	Take-Two Interactive	reports	Information Technology	Home Entertainment Software	New York, NY	2018-03-19	946581	
436	TPR	Tapestry, Inc.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York		1116132	2017
437	TGT	Target Corp.	reports	Consumer Discretionary	General Merchandise Stores	Minneapolis, Minnesota	1976-12-31	27419	
438	TEL	TE Connectivity Ltd.	reports	Information Technology	Electronic Manufacturing Services	Schaffhausen, Switzerland	2011-10-17	1385157	
439	FTI	TechnipFMC	reports	Energy	Oil & Gas Equipment & Services	London, United Kingdom	2009-06-05	1681459	
440	TXN	Texas Instruments	reports	Information Technology	Semiconductors	Dallas, Texas		97476	1930
441	TXT	Textron Inc.	reports	Industrials	Aerospace & Defense	Providence, Rhode Island	1978-12-31	217346	
442	TMO	Thermo Fisher Scientific	reports	Health Care	Health Care Equipment	Waltham, Massachusetts		97745	2006
443	TIF	Tiffany & Co.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	2000-06-21	98246	
444	TWTR	Twitter, Inc.	reports	Information Technology	Internet Software & Services	San Francisco, California	2018-06-07	1418091	2006
445	TJX	TJX Companies Inc.	reports	Consumer Discretionary	Apparel Retail	Framingham, Massachusetts	1985-09-30	109198	
446	TMK	Torchmark Corp.	reports	Financials	Life & Health Insurance	McKinney, Texas	1989-04-30	320335	
447	TSS	Total System Services	reports	Information Technology	Internet Software & Services	Columbus, Georgia	2008-01-02	721683	
448	TSCO	Tractor Supply Company	reports	Consumer Discretionary	Specialty Stores	Brentwood, Tennessee	2014-01-24	916365	
449	TDG	TransDigm Group	reports	Industrials	Aerospace & Defense	Cleveland, Ohio	2016-06-03	1260221	
450	TRV	The Travelers Companies Inc.	reports	Financials	Property & Casualty Insurance	New York, New York	2002-08-21	86312	
451	TRIP	TripAdvisor	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Newton, Massachusetts	2011-12-21	1526520	
452	FOXA	Twenty-First Century Fox Class A	reports	Consumer Discretionary	Publishing	New York, New York	2013-07-01	1308161	
453	FOX	Twenty-First Century Fox Class B	reports	Consumer Discretionary	Publishing	New York, New York	2015-09-18	1308161	
454	TSN	Tyson Foods	reports	Consumer Staples	Packaged Foods & Meats	Springdale, Arkansas		100493	
455	UDR	UDR Inc	reports	Real Estate	Residential REITs	Highlands Ranch, Colorado	2016-03-07	74208	
456	ULTA	Ulta Beauty	reports	Consumer Discretionary	Specialty Stores	Bolingbrook, Illinois	2016-04-18	1403568	
457	USB	U.S. Bancorp	reports	Financials	Diversified Banks	Minneapolis, Minnesota		36104	1968
458	UAA	Under Armour Class A	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Baltimore, Maryland	2016-03-25	1336917	
459	UA	Under Armour Class C	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Baltimore, Maryland	2014-05-01	1336917	
460	UNP	Union Pacific	reports	Industrials	Railroads	Omaha, Nebraska		100885	
461	UAL	United Continental Holdings	reports	Industrials	Airlines	Chicago, Illinois	2015-09-03	100517	
462	UNH	United Health Group Inc.	reports	Health Care	Managed Health Care	Minnetonka, Minnesota	1994-07-01	731766	
463	UPS	United Parcel Service	reports	Industrials	Air Freight & Logistics	Atlanta, Georgia	2002-07-22	1090727	
464	URI	United Rentals, Inc.	reports	Industrials	Trading Companies & Distributors	Stamford, Connecticut	2014-09-20	1067701	
465	UTX	United Technologies	reports	Industrials	Aerospace & Defense	Hartford, Connecticut		101829	
466	UHS	Universal Health Services, Inc.	reports	Health Care	Health Care Facilities	King of Prussia, Pennsylvania	2014-09-20	352915	
467	UNM	Unum Group	reports	Financials	Life & Health Insurance	Chattanooga, Tennessee	1994-03-01	5513	
468	VFC	V.F. Corp.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Greensboro, North Carolina	1979-06-30	103379	
469	VLO	Valero Energy	reports	Energy	Oil & Gas Refining & Marketing	San Antonio, Texas		1035002	1980
470	VAR	Varian Medical Systems	reports	Health Care	Health Care Equipment	Palo Alto, California	2007-02-12	203527	
471	VTR	Ventas Inc	reports	Real Estate	Health Care REITs	Chicago, Illinois	2009-03-04	740260	
472	VRSN	Verisign Inc.	reports	Information Technology	Internet Software & Services	Dulles, Virginia	2006-02-01	1014473	
473	VRSK	Verisk Analytics	reports	Industrials	Research & Consulting Services	Jersey City, New Jersey	2015-10-08	1442145	
474	VZ	Verizon Communications	reports	Telecommunication Services	Integrated Telecommunication Services	New York, New York	1983-11-30	732712	
475	VRTX	Vertex Pharmaceuticals Inc	reports	Health Care	Biotechnology	Cambridge, Massachusetts	2013-09-23	875320	
476	VIAB	Viacom Inc.	reports	Consumer Discretionary	Cable & Satellite	New York, New York		1339947	
477	V	Visa Inc.	reports	Information Technology	Internet Software & Services	San Francisco, California	2009-12-21	1403161	
478	VNO	Vornado Realty Trust	reports	Real Estate	Office REITs	New York, New York		899689	
479	VMC	Vulcan Materials	reports	Materials	Construction Materials	Birmingham, Alabama	1999-06-30	1396009	
480	WMT	Wal-Mart Stores	reports	Consumer Staples	Hypermarkets & Super Centers	Bentonville, Arkansas	1982-08-31	104169	
481	WBA	Walgreens Boots Alliance	reports	Consumer Staples	Drug Retail	Deerfield, Illinois	1979-12-31	1618921	
482	DIS	The Walt Disney Company	reports	Consumer Discretionary	Cable & Satellite	Burbank, California	1976-06-30	1001039	
483	WM	Waste Management Inc.	reports	Industrials	Environmental & Facilities Services	Houston, Texas		823768	1968
484	WAT	Waters Corporation	reports	Health Care	Health Care Distributors	Milford, Massachusetts		1000697	1958
485	WEC	Wec Energy Group Inc	reports	Utilities	Electric Utilities	Milwaukee, Wisconsin	2008-10-31	783325	
486	WFC	Wells Fargo	reports	Financials	Diversified Banks	San Francisco, California	1976-06-30	72971	
487	WELL	Welltower Inc.	reports	Real Estate	Health Care REITs	Toledo, Ohio	2009-01-30	766704	
488	WDC	Western Digital	reports	Information Technology	Technology Hardware, Storage & Peripherals	Irvine, California	2009-07-01	106040	
489	WU	Western Union Co	reports	Information Technology	Internet Software & Services	Englewood, Colorado		1365135	1851
490	WRK	WestRock Company	reports	Materials	Paper Packaging	Richmond, Virginia		1636023	
491	WY	Weyerhaeuser Corp.	reports	Real Estate	Specialized REITs	Federal Way, Washington		106535	
492	WHR	Whirlpool Corp.	reports	Consumer Discretionary	Household Appliances	Benton Harbor, Michigan		106640	1911
493	WMB	Williams Cos.	reports	Energy	Oil & Gas Storage & Transportation	Tulsa, Oklahoma	1975-03-31	107263	
494	WLTW	Willis Towers Watson	reports	Financials	Insurance Brokers	London, United Kingdom	2016-01-05	1140536	
495	WYNN	Wynn Resorts Ltd	reports	Consumer Discretionary	Casinos & Gaming	Paradise, Nevada	2008-11-14	1174922	
496	XEL	Xcel Energy Inc	reports	Utilities	Multi-Utilities	Minneapolis, Minnesota		72903	1909
497	XRX	Xerox Corp.	reports	Information Technology	Technology Hardware, Storage & Peripherals	Norwalk, Connecticut		108772	1906
498	XLNX	Xilinx Inc	reports	Information Technology	Semiconductors	San Jose, California	1999-11-08	743988	
499	XL	XL Group	reports	Financials	Property & Casualty Insurance	Hamilton, Bermuda		875159	1998
500	XYL	Xylem Inc.	reports	Industrials	Industrial Machinery	White Plains, New York	2011-11-01	1524472	
501	YUM	Yum! Brands Inc	reports	Consumer Discretionary	Restaurants	Louisville, Kentucky	1997-10-06	1041061	
502	ZBH	Zimmer Biomet Holdings	reports	Health Care	Health Care Equipment	Warsaw, Indiana	2001-08-07	1136869	
503	ZION	Zions Bancorp	reports	Financials	Regional Banks	Salt Lake City, Utah	2001-06-22	109380	
504	ZTS	Zoetis	reports	Health Care	Pharmaceuticals	Florham Park, New Jersey	2013-06-21	1555280	
